FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,TIME_PERIOD,OBS_VALUE
Annual,JAM,Jamaica,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.479
Annual,JPN,Japan,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,84.04121951
Annual,JOR,Jordan,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.814
Annual,KAZ,Kazakhstan,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,74.402
Annual,KEN,Kenya,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,63.646
Annual,KIR,Kiribati,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,66.473
Annual,PRK,"Korea, Dem. People's Rep.","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,73.642
Annual,KOR,"Korea, Rep.","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.42926829
Annual,XKX,Kosovo,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.033
Annual,KWT,Kuwait,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.18780488
Annual,KGZ,Kyrgyz Republic,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.24878049
Annual,LAO,Lao PDR,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,68.964
Annual,LVA,Latvia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,75.67804878
Annual,LBN,Lebanon,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.817
Annual,LSO,Lesotho,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,57.375
Annual,LBR,Liberia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,62.163
Annual,LBY,Libya,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,69.339
Annual,LIE,Liechtenstein,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,84.84146341
Annual,LTU,Lithuania,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.98780488
Annual,LUX,Luxembourg,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.35853659
Annual,MAC,"Macao SAR, China","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.1804878
Annual,MDG,Madagascar,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,63.632
Annual,MWI,Malawi,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,67.353
Annual,MYS,Malaysia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.657
Annual,MDV,Maldives,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.041
Annual,MLI,Mali,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,60.439
Annual,MLT,Malta,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.50731707
Annual,MHL,Marshall Islands,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,66.945
Annual,MRT,Mauritania,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,68.484
