REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,TIME_PERIOD,OBS_VALUE
UGA,Uganda,"Life expectancy at birth, total (years)",Total,2023,68.252
UKR,Ukraine,"Life expectancy at birth, total (years)",Total,2023,73.422
ARE,United Arab Emirates,"Life expectancy at birth, total (years)",Total,2023,82.909
GBR,United Kingdom,"Life expectancy at birth, total (years)",Total,2023,81.23809756
USA,United States,"Life expectancy at birth, total (years)",Total,2023,78.38536585
URY,Uruguay,"Life expectancy at birth, total (years)",Total,2023,78.138
UZB,Uzbekistan,"Life expectancy at birth, total (years)",Total,2023,72.388
VUT,Vanuatu,"Life expectancy at birth, total (years)",Total,2023,71.477
VEN,"Venezuela, RB","Life expectancy at birth, total (years)",Total,2023,72.514
VNM,Viet Nam,"Life expectancy at birth, total (years)",Total,2023,74.588
VIR,Virgin Islands (U.S.),"Life expectancy at birth, total (years)",Total,2023,80.5195122
PSE,West Bank and Gaza,"Life expectancy at birth, total (years)",Total,2023,65.17
YEM,"Yemen, Rep.","Life expectancy at birth, total (years)",Total,2023,69.295
ZMB,Zambia,"Life expectancy at birth, total (years)",Total,2023,66.349
ZWE,Zimbabwe,"Life expectancy at birth, total (years)",Total,2023,62.775
AFG,Afghanistan,"Life expectancy at birth, male (years)",Male,2023,64.467
,Africa (UN),"Life expectancy at birth, male (years)",Male,2023,61.812
ALB,Albania,"Life expectancy at birth, male (years)",Male,2023,77.728
DZA,Algeria,"Life expectancy at birth, male (years)",Male,2023,74.895
ASM,American Samoa,"Life expectancy at birth, male (years)",Male,2023,70.202
AND,Andorra,"Life expectancy at birth, male (years)",Male,2023,82.1
AGO,Angola,"Life expectancy at birth, male (years)",Male,2023,62.099
AIA,Anguilla,"Life expectancy at birth, male (years)",Male,2023,76.026
ATG,Antigua and Barbuda,"Life expectancy at birth, male (years)",Male,2023,74.549
ARG,Argentina,"Life expectancy at birth, male (years)",Male,2023,74.805
ARM,Armenia,"Life expectancy at birth, male (years)",Male,2023,71.385
ABW,Aruba,"Life expectancy at birth, male (years)",Male,2023,73.702
,Asia (UN),"Life expectancy at birth, male (years)",Male,2023,72.081
AUS,Australia,"Life expectancy at birth, male (years)",Male,2023,82.098
AUT,Austria,"Life expectancy at birth, male (years)",Male,2023,79.543
AZE,Azerbaijan,"Life expectancy at birth, male (years)",Male,2023,71.561
BHS,Bahamas,"Life expectancy at birth, male (years)",Male,2023,70.906
BHR,Bahrain,"Life expectancy at birth, male (years)",Male,2023,80.672
BGD,Bangladesh,"Life expectancy at birth, male (years)",Male,2023,73.032
BRB,Barbados,"Life expectancy at birth, male (years)",Male,2023,73.631
BLR,Belarus,"Life expectancy at birth, male (years)",Male,2023,69.535
BEL,Belgium,"Life expectancy at birth, male (years)",Male,2023,79.856
BLZ,Belize,"Life expectancy at birth, male (years)",Male,2023,70.928
BEN,Benin,"Life expectancy at birth, male (years)",Male,2023,59.347
BMU,Bermuda,"Life expectancy at birth, male (years)",Male,2023,78.855
BTN,Bhutan,"Life expectancy at birth, male (years)",Male,2023,71.305
BOL,Bolivia,"Life expectancy at birth, male (years)",Male,2023,66.128
BES,Bonaire Sint Eustatius and Saba,"Life expectancy at birth, male (years)",Male,2023,75.235
BIH,Bosnia and Herzegovina,"Life expectancy at birth, male (years)",Male,2023,74.424
BWA,Botswana,"Life expectancy at birth, male (years)",Male,2023,66.673
BRA,Brazil,"Life expectancy at birth, male (years)",Male,2023,72.76
VGB,British Virgin Islands,"Life expectancy at birth, male (years)",Male,2023,74.526
BRN,Brunei,"Life expectancy at birth, male (years)",Male,2023,73.328
BGR,Bulgaria,"Life expectancy at birth, male (years)",Male,2023,72.163
BFA,Burkina Faso,"Life expectancy at birth, male (years)",Male,2023,58.921
BDI,Burundi,"Life expectancy at birth, male (years)",Male,2023,61.599
KHM,Cambodia,"Life expectancy at birth, male (years)",Male,2023,68.011
CMR,Cameroon,"Life expectancy at birth, male (years)",Male,2023,61.522
CAN,Canada,"Life expectancy at birth, male (years)",Male,2023,80.427
CPV,Cape Verde,"Life expectancy at birth, male (years)",Male,2023,72.856
CYM,Cayman Islands,"Life expectancy at birth, male (years)",Male,2023,77.981
CAF,Central African Republic,"Life expectancy at birth, male (years)",Male,2023,55.26
TCD,Chad,"Life expectancy at birth, male (years)",Male,2023,53.195
CHL,Chile,"Life expectancy at birth, male (years)",Male,2023,79.24
CHN,China,"Life expectancy at birth, male (years)",Male,2023,75.201
COL,Colombia,"Life expectancy at birth, male (years)",Male,2023,74.95
COM,Comoros,"Life expectancy at birth, male (years)",Male,2023,64.786
COG,Congo,"Life expectancy at birth, male (years)",Male,2023,64.122
COK,Cook Islands,"Life expectancy at birth, male (years)",Male,2023,71.869
CRI,Costa Rica,"Life expectancy at birth, male (years)",Male,2023,78.129
CIV,Cote d'Ivoire,"Life expectancy at birth, male (years)",Male,2023,60.016
HRV,Croatia,"Life expectancy at birth, male (years)",Male,2023,75.408
CUB,Cuba,"Life expectancy at birth, male (years)",Male,2023,75.672
CUW,Curacao,"Life expectancy at birth, male (years)",Male,2023,72.456
CYP,Cyprus,"Life expectancy at birth, male (years)",Male,2023,79.635
CZE,Czechia,"Life expectancy at birth, male (years)",Male,2023,76.999
COD,Democratic Republic of Congo,"Life expectancy at birth, male (years)",Male,2023,59.792
DNK,Denmark,"Life expectancy at birth, male (years)",Male,2023,80.019
DJI,Djibouti,"Life expectancy at birth, male (years)",Male,2023,63.525
DMA,Dominica,"Life expectancy at birth, male (years)",Male,2023,68.214
DOM,Dominican Republic,"Life expectancy at birth, male (years)",Male,2023,70.532
TLS,East Timor,"Life expectancy at birth, male (years)",Male,2023,66.067
ECU,Ecuador,"Life expectancy at birth, male (years)",Male,2023,74.664
EGY,Egypt,"Life expectancy at birth, male (years)",Male,2023,69.493
SLV,El Salvador,"Life expectancy at birth, male (years)",Male,2023,67.524
GNQ,Equatorial Guinea,"Life expectancy at birth, male (years)",Male,2023,62.037
ERI,Eritrea,"Life expectancy at birth, male (years)",Male,2023,66.509
EST,Estonia,"Life expectancy at birth, male (years)",Male,2023,74.9
SWZ,Eswatini,"Life expectancy at birth, male (years)",Male,2023,61.187
ETH,Ethiopia,"Life expectancy at birth, male (years)",Male,2023,64.078
,Europe (UN),"Life expectancy at birth, male (years)",Male,2023,75.526
FLK,Falkland Islands,"Life expectancy at birth, male (years)",Male,2023,77.151
FRO,Faroe Islands,"Life expectancy at birth, male (years)",Male,2023,78.169
FJI,Fiji,"Life expectancy at birth, male (years)",Male,2023,65.341
FIN,Finland,"Life expectancy at birth, male (years)",Male,2023,79.165
FRA,France,"Life expectancy at birth, male (years)",Male,2023,80.428
GUF,French Guiana,"Life expectancy at birth, male (years)",Male,2023,74.134
PYF,French Polynesia,"Life expectancy at birth, male (years)",Male,2023,81.779
GAB,Gabon,"Life expectancy at birth, male (years)",Male,2023,65.905
GMB,Gambia,"Life expectancy at birth, male (years)",Male,2023,64.174
GEO,Georgia,"Life expectancy at birth, male (years)",Male,2023,69.569
DEU,Germany,"Life expectancy at birth, male (years)",Male,2023,79.017
GHA,Ghana,"Life expectancy at birth, male (years)",Male,2023,63.134
GIB,Gibraltar,"Life expectancy at birth, male (years)",Male,2023,80.915
GRC,Greece,"Life expectancy at birth, male (years)",Male,2023,79.287
GRL,Greenland,"Life expectancy at birth, male (years)",Male,2023,68.092
GRD,Grenada,"Life expectancy at birth, male (years)",Male,2023,72.364
GLP,Guadeloupe,"Life expectancy at birth, male (years)",Male,2023,78.134
GUM,Guam,"Life expectancy at birth, male (years)",Male,2023,73.435
GTM,Guatemala,"Life expectancy at birth, male (years)",Male,2023,70.312
GGY,Guernsey,"Life expectancy at birth, male (years)",Male,2023,81.012
GIN,Guinea,"Life expectancy at birth, male (years)",Male,2023,59.517
GNB,Guinea-Bissau,"Life expectancy at birth, male (years)",Male,2023,61.657
GUY,Guyana,"Life expectancy at birth, male (years)",Male,2023,66.507
HTI,Haiti,"Life expectancy at birth, male (years)",Male,2023,61.729
,High-income countries,"Life expectancy at birth, male (years)",Male,2023,78.844
HND,Honduras,"Life expectancy at birth, male (years)",Male,2023,70.346
HKG,Hong Kong,"Life expectancy at birth, male (years)",Male,2023,82.844
HUN,Hungary,"Life expectancy at birth, male (years)",Male,2023,73.708
ISL,Iceland,"Life expectancy at birth, male (years)",Male,2023,80.981
IND,India,"Life expectancy at birth, male (years)",Male,2023,70.522
IDN,Indonesia,"Life expectancy at birth, male (years)",Male,2023,69.036
